,bbl,eui
1232,2025060022,77.4
1233,2028260076,101.8
1234,2030600045,63.2
1235,2028690148,105.9
1236,2031620011,108.3
1237,2033150076,75.7
1238,2046460009,106.1
1239,1020540046,77.1
1240,1020540049,89.6
1241,1020540053,113.3
1242,1022170029,87.5
1243,1021690018,95.1
1244,2048250073,57.6
1245,2046880028,128.4
1246,3072630124,152.9
1247,3087170036,58.3
1248,3086620097,35.4
1249,1021370032,126.5
1250,1021220052,141.0
1251,1021220069,112.5
1252,1021530080,144.1
1253,1021680051,75.9
1254,2039430209,6.7
1255,1021580040,120.5
1256,1021680046,147.3
1257,1022270001,112.5
1258,2028730008,52.1
1259,1021360043,89.0
1260,1012530007,109.0
1261,2031920001,81.9
1262,1006330006,58.2
1263,3052180001,77.1
1264,3012660022,85.8
1265,5000180086,65.9
1266,3027570028,95.9
1267,3030700010,115.2
1268,3022700001,82.6
1269,3027910001,92.9
1270,3029210016,104.3
1271,3027827502,46.9
1272,4002580001,35.0
1273,4155550001,51.8
1274,1012160027,111.7
1275,1011500041,52.4
